country,category,n_records,mean_z_price,anomaly_rate,total_value_gbp,log_n_records,cluster
Belgium,"Salt; sulphur; earths and stone; plastering material, lime and cement",18,0.560180016897085,0.05555555555555555,3873598.0,2.8903717578961645,0
Belgium,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof",23,-1.0700220999105783,0.0,5071041.0,3.1354942159291497,0
Benin,Edible fruit and nuts; peel of citrus fruits or melons,11,0.5430276967798892,0.0,906157.0,2.3978952727983707,0
Bolivia,Edible fruit and nuts; peel of citrus fruits or melons,6,0.5181465094497687,0.0,1329385.0,1.791759469228055,0
Brazil,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",6,0.18095668682071367,0.16666666666666666,653312.0,1.791759469228055,0
Brazil,Edible fruit and nuts; peel of citrus fruits or melons,63,-0.46434673222155864,0.0,59567917.0,4.143134726391533,0
Brazil,Edible vegetables and certain roots and tubers,30,-0.47807091194781565,0.0,1556452.0,3.4011973816621555,0
Brazil,"Fish and crustaceans, molluscs and other aquatic invertebrates",5,1.0969373644532978,0.0,60918.0,1.6094379124341003,0
Brazil,Meat and edible meat offal,39,-0.21852271691561034,0.05128205128205128,49484332.0,3.6635616461296463,0
Bulgaria,"Aircraft, spacecraft, and parts thereof",5,-0.0006776263275387606,0.0,31838.0,1.6094379124341003,0
Bulgaria,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",94,0.16551342120286755,0.02127659574468085,4719027.0,4.543294782270004,0
Bulgaria,Edible fruit and nuts; peel of citrus fruits or melons,12,1.0734124869717643,0.0,319600.0,2.4849066497880004,0
Bulgaria,Edible vegetables and certain roots and tubers,31,0.4110814555536749,0.12903225806451613,253228.0,3.4339872044851463,0
Bulgaria,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",7,-0.3390564140186076,0.0,125237.0,1.9459101490553132,0
Bulgaria,"Fish and crustaceans, molluscs and other aquatic invertebrates",17,-0.8752792173144461,0.0,138564.0,2.833213344056216,0
Bulgaria,Live animals,6,-0.9429367191688223,0.0,7940.0,1.791759469228055,0
Bulgaria,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",9,-0.38588307389682047,0.0,986183.0,2.1972245773362196,0
Bulgaria,Meat and edible meat offal,58,0.40656998089206103,0.0,802783.0,4.060443010546419,0
Cameroon,Edible fruit and nuts; peel of citrus fruits or melons,6,-1.693835429267076,0.0,5601045.0,1.791759469228055,0
Cameroon,Edible vegetables and certain roots and tubers,13,-0.998920645109735,0.0,111732.0,2.5649493574615367,0
Canada,"Aircraft, spacecraft, and parts thereof",20,-0.08168561809082345,0.25,39302482.0,2.995732273553991,1
Canada,Arms and ammunition; parts and accessoriesthereof,5,-0.4640037407991683,0.0,1672002.0,1.6094379124341003,0
Canada,Edible fruit and nuts; peel of citrus fruits or melons,16,0.28914968245244377,0.0,1757789.0,2.772588722239781,0
Canada,Edible vegetables and certain roots and tubers,62,-0.38715147400517097,0.03225806451612903,26535399.0,4.127134385045092,0
Canada,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",13,0.16477624206595204,0.0,952555.0,2.5649493574615367,0
Canada,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,8,0.2676582079471379,0.0,503302.0,2.0794415416798357,0
Canada,"Fish and crustaceans, molluscs and other aquatic invertebrates",81,0.7533989222789753,0.024691358024691357,23256918.0,4.394449154672439,0
Canada,"Inorganic chemicals: organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",7,0.6318698876178005,0.5714285714285714,276081707.0,1.9459101490553132,1
Canada,Live animals,10,-0.17411856525537558,0.0,68791.0,2.302585092994046,0
Canada,Plastics and plastic products,6,0.9948034096335961,0.0,46799.0,1.791759469228055,0
Canada,Products of animal origin not elsewhere specified or included,18,1.6367757985814873,0.2222222222222222,1236329.0,2.8903717578961645,1
Canada,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof",6,0.31023855625889646,0.16666666666666666,244039.0,1.791759469228055,1
Chile,Edible fruit and nuts; peel of citrus fruits or melons,56,0.1486243370654987,0.0,43343596.0,4.02535169073515,0
Chile,"Fish and crustaceans, molluscs and other aquatic invertebrates",16,-0.9860337001109429,0.0,1230739.0,2.772588722239781,0
Chile,Meat and edible meat offal,19,0.7136909302860337,0.05263157894736842,3638699.0,2.9444389791664403,0
China,"Aircraft, spacecraft, and parts thereof",26,-0.8093520586923696,0.0,2251619.0,3.258096538021482,0
China,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",22,-0.3853255435946837,0.2727272727272727,10572140.0,3.091042453358316,1
China,Edible fruit and nuts; peel of citrus fruits or melons,74,0.4377141400817257,0.0,8729121.0,4.30406509320417,0
China,Edible vegetables and certain roots and tubers,299,-0.04811996373832266,0.0033444816053511705,33707765.0,5.700443573390687,0
China,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",54,-0.9389652438336545,0.0,14166783.0,3.9889840465642745,0
China,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,8,-1.0227108557757074,0.125,1540968.0,2.0794415416798357,0
China,"Fish and crustaceans, molluscs and other aquatic invertebrates",214,-0.7073420894561187,0.014018691588785047,88119727.0,5.365976015021851,0
