month,flow_type_id,commodity_id,category,country,value_gbp,net_mass_kg
202401,3,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medical plants; straw and fodder",China,18324.0,645.0
202401,3,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medical plants; straw and fodder",South Korea,4761.0,1047.0
202401,3,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medical plants; straw and fodder",Hong Kong,10089.0,2540.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Netherlands,141670.0,129389.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Germany,2617042.0,26589668.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Germany,44792.0,127800.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Germany,959839.0,12336069.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Germany,16905.0,15372.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Germany,8732.0,25000.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Germany,36509.0,313093.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Ireland,3401770.0,29356176.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Ireland,362214.0,3804000.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Ireland,319168.0,3762000.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Ireland,300458.0,3797000.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Ireland,105391.0,706500.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Ireland,3562.0,24000.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Ireland,553044.0,3727000.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Ireland,616276.0,7309000.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Ireland,940615.0,7907789.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Ireland,571293.0,3854000.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Ireland,184873.0,1238500.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Ireland,23040.0,300000.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Denmark,24297.0,171440.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Denmark,602017.0,3503620.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Portugal,199686.0,3100500.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Portugal,446870.0,4581000.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Portugal,401611.0,3499500.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Portugal,363612.0,3364724.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Portugal,422078.0,4395000.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Portugal,1762681.0,18802000.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Spain,502839.0,3443710.0
202401,1,25,"Salt; sulphur; earths and stone; plastering material, lime and cement",Spain,803404.0,8985627.0
